Год,Всего по  экономике,"Сельское хозяйство, охота и лесное хозяйство","Рыболовство, рыбоводство",Добыча полезных ископаемых,  добыча топливно-энергетических  полезных ископаемых,"  добыча полезных ископаемых,  кроме топливно-энергетических",Обрабатывающие производства,"  производство пищевых продуктов,   включая напитки, и табака",  текстильное и швейное производство,"  производство кожи, изделий из   кожи и производство обуви",  обработка древесины и производство изделий из дерева,  целлюлозно-бумажное производство; издательская и полиграфическая деятельность,  производство кокса и нефтепродуктов,  химическое производство,  производство резиновых и  пластмассовых изделий,  производство прочих неметаллических минеральных продуктов,  металлургическое производство и  производство готовых металлических изделий,  производство машин и оборудования,"  производство электрооборудования, электронного и оптического оборудования",  производство транспортных средств и оборудования,  прочие производства,"Производство и распределение электроэнергии, газа и воды",Строительство,"Оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования",Гостиницы и рестораны,Транспорт и связь,     из них связь,Финансовая деятельность,"Операции с недвижимым имуществом, аренда и предоставление услуг",Государственное управление и обеспечение военной безопасности; социальное страхование,Образование,Здравоохранение и предоставление социальных услуг,"Предоставление прочих коммунальных, социальных и персональных услуг"
2000,2223,985,2846,5940,6985,4000,2365,2183,1215,1348,1739,2737,4916,2755,2140,2182,3855,1975,2004,2454,2053,3157,2640,1585,1640,3220,2879,5232,2457,2712,1240,1333,1548
2001,3240,1435,3839,9099,10905,5387,3447,3127,1765,1986,2310,4309,7012,3902,3032,3220,5242,3074,2999,3665,2738,4435,3859,2295,2404,4304,4131,8885,3546,3755,1833,1960,2312
2002,4360,1876,5031,11081,13080,7035,4439,4066,2242,2621,2980,5480,9625,4900,3957,4134,6285,4067,3816,5100,3279,5869,4807,3069,3039,5852,5662,13246,4677,5200,2927,3141,3183
2003,5499,2340,5445,13912,16136,9396,5603,5027,2803,3230,3755,6848,11879,6155,4951,5208,7731,5170,5109,6365,4045,7235,6177,3974,3967,7471,7304,15561,6196,6914,3387,3663,3920
2004,6740,3015,7085,16842,19903,10877,6849,6066,3357,3775,4615,7892,13729,7683,5957,6422,9197,6514,6432,7828,5182,8642,7305,4906,4737,9320,8974,17384,7795,7899,4203,4612,4823
2005,8555,3646,10234,19727,23456,13176,8421,7304,3986,4695,5895,9419,19397,9928,6879,7922,10261,8380,8219,9377,6387,10637,9043,6552,6033,11351,11389,22464,10237,10959,5430,5906,6291
2006,10634,4569,12311,23145,27615,15364,10199,8807,4964,5649,6950,10924,22320,11599,8768,9984,12002,10418,10290,11431,8278,12828,10869,8235,7522,13390,13220,27886,12763,13477,6983,8060,7996
2007,13593,6144,14797,28108,33276,19093,12879,11069,6590,7537,8816,13792,28565,14616,11083,13193,14991,13480,13114,14014,10114,15587,14333,11476,9339,16452,16043,34880,16642,16896,8778,10037,10392
2008,17290,8475,19499,33206,39051,22937,16050,13930,8454,9522,11301,17632,34913,18220,13464,16372,18171,16940,16609,17331,12593,19057,18574,14927,11536,20761,19918,41872,21275,21344,11317,13049,13539
2009,18638,9619,22914,35363,41568,24064,16583,15653,9021,10073,10947,17707,37964,19429,13851,16054,17946,17010,17360,17368,12543,21554,18122,15959,12470,22401,20923,42373,22610,23960,13294,14820,15070
2010,20952,10668,23782,39895,46271,28306,19078,17317,10302,11346,12720,20104,41563,22229,15766,18118,21152,20103,20178,20766,13674,24156,21172,18406,13466,25590,24275,50120,25623,25121,14075,15724,16371
2011,23369,12464,25940,45132,51588,33580,21781,19094,11004,12351,13942,23710,48463,25583,17713,20518,23887,22778,23375,24503,15573,26966,23682,19613,14693,28609,26995,55789,28239,27756,15809,17545,18200
2012,26629,14129,29201,50401,57210,38267,24512,21105,12095,13136,15248,26312,59195,28901,19758,23180,26564,25671,26354,27660,17146,29437,25951,21634,16631,31444,28701,58999,30926,35701,18995,20641,20985
2013,29792,15724,32437,54161,61084,41754,27045,23327,13489,14725,16950,28505,64760,32514,21599,25458,28520,28231,29354,30724,18736,32231,27701,23168,18304,34576,31346,63333,33846,40449,23458,24439,24740
2014,32495,17724,37062,58959,66780,44441,29511,25081,14453,16119,18628,29222,75517,36218,23270,27335,30437,30268,32779,33736,19711,34808,29354,25601,19759,37011,33705,68565,37559,42659,25862,27068,27876
2015,34030,19721,46676,63695,71418,48724,31910,26793,15758,17796,20365,30148,81605,39342,25006,28051,33059,32246,36765,36139,21533,36865,29960,26947,20626,38982,34958,70088,39815,41916,26928,28179,30072
2016,36709,21755,54927,69936,77586,54513,34592,28779,17065,19847,22383,32399,88194,43318,27565,28909,35310,35469,39998,39603,21941,39629,32332,30030,22041,41510,37984,80289,43737,43611,28088,29742,32197
